trank,team,appearance,win_lose,winRate,totalKill_perGame,totalDie_perGame,catchEye_perGame,rowEye_perGame,money_perGame,baron_perGame,dragon_perGame
1,V5,19,15/4,78,858,674,97,55,59266,0.7,2.4
2,RNG,19,15/4,78,816,658,111,54,60523,0.8,2.4
3,TES,22,15/7,68,967,769,106,53,58193,0.7,2.6
4,WBG,18,12/6,66,613,593,118,56,59374,0.8,1.9
5,LNG,17,11/6,64,613,567,101,49,57554,0.6,2.1
6,JDG,19,12/7,63,807,733,103,51,58335,0.7,2.5
7,EDG,18,11/7,61,635,525,105,51,57922,0.7,2.4
8,BLG,18,10/8,55,735,670,113,51,59628,0.7,2.3
9,RA,17,8/9,47,481,566,103,53,57710,0.6,2.4
10,FPX,17,8/9,47,572,615,102,52,56989,0.6,2.3
11,OMG,16,6/10,37,519,610,104,45,54290,0.7,2
12,UP,16,5/11,31,538,645,104,47,55901,0.5,1.8
13,AL,16,5/11,31,528,577,101,47,56211,0.6,2.1
14,IG,16,5/11,31,477,574,108,49,55641,0.6,2.3
15,WE,16,4/12,25,451,544,97,47,52611,0.5,1.8
16,TT,16,3/13,18,398,534,100,45,52078,0.4,1.7
17,LGD,16,3/13,18,506,680,92,46,53421,0.4,1.7
