prank,player,appearance,modelViewPresenter,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,money_perGame,creepScore_perGame,catchEye_perGame,rowEye_perGame,attendanceRate_perGame,contrapositionEconomicDifference,damage,gold
84,Ye,15,1,67,161,98,3,10918,229,11,4,65%,-1725,20%,21%
85,Weiwei,17,6,143,279,129,3,11219,186,17,13,69%,458,17%,19%
86,Able,17,4,157,179,105,3,12805,278,15,14,68%,-191,26%,24%
87,Baolan,2,0,2,29,15,3,6900,40,53,9,64%,-912,7%,13%
88,AKi,17,5,91,252,94,3,9861,169,8,9,70%,-585,17%,18%
89,New,17,1,90,219,104,3,10875,224,12,5,63%,-958,22%,20%
90,Uniboy,16,1,50,147,100,3,10249,230,12,7,72%,-2820,22%,21%
91,Biubiu,17,3,114,265,133,2,12361,255,14,6,62%,-51,21%,21%
92,Puff,2,1,12,18,13,2,12730,282,12,15,62%,-1655,27%,24%
93,Missia,9,0,9,93,74,2,6264,31,51,7,68%,-1206,6%,12%
94,COLD,17,2,20,328,138,2,6848,37,43,8,71%,-228,7%,13%
95,Xiaopeng,16,2,119,161,131,2,10634,180,16,14,75%,-735,20%,20%
96,Langx,12,2,45,107,89,2,11073,238,11,5,60%,-1688,22%,21%
97,QiuQiu,15,0,15,287,141,2,7324,45,51,14,66%,-414,7%,13%
98,icecoKe,7,1,32,75,45,2,9655,177,12,9,79%,-1460,18%,20%
99,ZWuJi,5,1,16,20,23,2,11019,244,14,9,57.9%,-3059,28.9%,22%
100,Stay,1,0,2,6,3,2,11541,239,13,5,80%,-2345,28%,21%
101,ppgod,17,0,22,356,148,2,7475,39,46,10,62%,-60,6%,12%
102,pzx,15,1,69,123,99,2,9956,186,10,11,79%,-1203,17%,20%
103,Kepler,16,1,78,92,93,2,11865,283,15,11,62%,-2012,32%,24%
104,Aliez,10,0,43,68,78,2,10710,232,12,5,62%,-3023,21%,21%
105,JunJia,2,1,9,15,11,2,11434,198,12,16,55%,-292,17%,19%
106,heal,8,0,3,76,45,2,6318,33,48,7,65%,-1432,7%,12%
107,Clearlove,1,0,2,7,5,1,8589,135,8,10,90%,-2773,16%,18%
108,Invincible,6,0,13,48,46,1,9900,221,11,6,65%,-1742,22%,21%
109,eiir,2,0,6,12,13,1,10421,178,10,13,62%,-2364,11%,19%
110,Patch,5,0,4,41,42,1,6901,32,45,11,47%,-1094,7%,13%
111,8917,7,0,25,57,69,1,9681,209,9,5,60%,-2586,21%,20%
112,View,1,0,2,1,3,1,7893,137,10,7,75%,-3679,28.9%,19%
113,Captain,1,0,1,7,8,0,9703,219,9,9,42%,-2935,21%,20%
114,kaixuan,2,0,2,10,8,0,4738,17,31,7,80%,-1810,12%,14%
115,M1kuya,1,0,0,4,5,0,11042,259,17,7,66%,-5705,17%,20%
