prank,player,appearance,modelViewPresenter,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,money_perGame,creepScore_perGame,catchEye_perGame,rowEye_perGame,attendanceRate_perGame,contrapositionEconomicDifference,damage,gold
1,knight,22,11,277,400,107,7,13183,278,11,8,70%,826,27%,22%
2,SwordArt,1,0,2,29,6,7,7429,30,51,7,70%,-212,5%,12%
3,Scout,18,14,183,275,82,7,13266,271,12,6,72%,1092,25%,23%
4,Xiaohu,19,14,225,344,103,7,13657,274,15,10,69%,1334,27%,22%
5,Betty,16,8,165,235,88,7,13700,291,12,11,75%,-847,28.9%,24%
6,Rookie,19,11,207,398,114,6,12921,258,10,9,70%,341,26%,21%
7,Mark,17,2,44,498,120,6,7645,38,53,13,67%,425,6%,13%
8,Angel,18,7,156,262,65,6,13249,280,15,9,68%,592,24%,22%
9,FoFo,18,9,172,317,95,6,12827,268,13,6,66%,-161,27%,21%
10,Viper,18,7,199,244,80,6,14180,298,18,12,69%,748,31%,24%
11,GALA,19,4,237,298,105,6,14940,318,11,13,65%,1038,28.9%,24%
12,Karsa,18,11,177,376,143,6,10981,169,15,12,67%,303,12%,18%
13,Hope,17,3,224,280,107,6,14145,293,15,11,66%,300,27%,23%
14,Forge,12,3,86,198,77,6,12660,267,13,8,67%,-424,24%,22%
15,Yagao,19,8,175,318,111,6,12881,266,11,8,61%,471,23%,22%
16,Tian,18,7,156,408,144,6,10502,168,14,13,67%,422,12%,18%
17,Photic,19,10,278,315,105,6,14618,293,15,15,69%,940,28.9%,24%
18,xiye,7,6,66,111,37,6,11885,234,11,7,77%,727,27%,22%
19,Wei,19,7,148,368,142,6,10693,162,15,13,63%,105,13%,17%
20,huanfeng,18,6,189,199,83,6,14922,335,14,11,63%,544,27%,24%
21,Weiwei,18,8,124,373,159,6,10793,174,13,13,67%,178,12%,18%
22,JackeyLove,22,7,272,401,158,6,14012,287,13,12,69%,428,28.9%,24%
23,Doggo,16,4,173,220,97,5,14520,312,18,10,68%,980,28.9%,24%
24,Elk,16,7,213,188,111,5,14519,305,13,13,74%,-136,31%,25%
25,Jiejie,18,4,100,339,101,5,10230,157,13,13,69%,161,12%,17%
26,Kanavi,19,12,199,361,167,5,11412,182,11,13,69%,821,16%,19%
27,Hang,17,4,22,393,150,5,7318,37,49,11,72%,-78,7%,12%
28,beishang,10,0,54,179,69,5,9734,152,10,12,69%,-717,13%,17%
29,Strive,17,6,118,210,81,5,12925,288,13,7,68%,-239,25%,21%
30,Light,17,9,225,231,65,5,14544,304,12,11,74%,613,28%,23%
31,Invincible,1,0,5,20,8,5,12231,274,10,8,53%,1898,23%,21%
32,SofM,18,5,133,254,116,5,10832,179,17,15,63%,182,12%,18%
33,Xiaohao,16,1,118,261,113,5,10513,169,12,12,71%,-114,14%,18%
34,Cryin,16,3,125,235,105,5,12448,261,10,6,66%,-377,28.9%,22%
35,Gori,11,3,74,150,74,5,12105,265,12,6,67%,-970,25%,21%
36,Beichuan,5,1,27,75,29,5,10448,180,11,12,71%,218,13%,18%
37,XLB,1,0,7,18,5,5,10640,142,9,9,65%,2352,14%,18%
38,Creme,16,7,132,205,110,5,12006,249,12,7,64%,-535,28.9%,22%
39,Wayward,17,10,158,267,126,5,12729,263,12,4,52%,645,24%,22%
40,AKi,16,5,109,241,108,4,10562,172,12,10,67%,252,13%,19%
41,Crisp,18,4,42,461,156,4,7781,35,56,11,68%,217,6%,13%
42,Zoom,5,1,25,61,29,4,12854,280,12,7,52%,21,17%,21%
43,Care,6,3,53,115,40,4,12173,249,20,12,70%,-281,22%,21%
44,Xiaoxiang,5,0,40,70,30,4,10870,217,9,5,56.9%,230,22%,20%
45,Xing,10,0,71,108,51,4,12820,285,14,11,66%,-819,28%,24%
46,Uzi,4,0,46,70,26,4,16247,359,14,15,73%,-709,28.9%,25%
47,Maple,4,1,29,48,19,4,11929,264,13,7,70%,-1245,27%,22%
48,Yuekai,14,3,95,184,84,4,12098,255,14,8,67%,-575,25%,22%
49,Stay,6,0,49,86,45,4,12411,267,13,8,73%,-2468,28%,23%
50,UCAL,10,4,73,90,46,4,11745,256,10,6,60%,-305,27%,22%
51,Ming,19,5,40,500,176,4,7872,33,56,11,66%,460,7%,13%
52,Iwandy,4,0,10,99,36,4,7352,38,57,13,72%,-80,5%,13%
53,Eric,16,4,144,171,111,4,13136,284,16,13,62%,-1187,30%,24%
54,Bin,19,4,166,249,132,4,13359,273,13,5,50%,711,21%,22%
55,369,19,5,153,332,162,4,12453,243,9,8,60%,59,26%,21%
56,ppgod,19,1,47,525,155,4,7871,43,46,9,66%,401,6%,13%
57,ShiauC,16,2,28,349,165,4,7414,34,56,11,70%,-294,6%,13%
58,Missing,19,4,41,506,170,4,7645,36,55,10,67%,291,6%,13%
59,LvMao,13,1,31,271,107,4,7331,30,52,9,65%,61,6%,12%
60,clid,12,3,85,231,79,4,10483,164,14,14,73%,318,14%,18%
61,Zhuo,5,0,6,111,45,4,7689,37,60,14,71%,-393,7%,12%
62,Able,16,3,166,176,115,4,13187,272,20,15,65%,-411,25%,24%
63,Xiaopeng,4,1,29,70,40,4,11013,177,14,17,73%,568,14%,18%
64,Flandre,13,2,87,149,88,4,13396,285,8,8,53%,470,24%,22%
65,Rich,18,2,137,267,144,4,12926,263,10,9,49%,864,25%,21%
66,Lwx,17,5,167,230,115,4,13938,298,14,11,69%,346,27%,24%
67,Doinb,17,5,123,342,106,4,12834,276,10,9,75%,276,26%,22%
68,Shanks,9,1,55,114,54,4,12123,269,11,8,76%,-276,26%,23%
69,Puff,16,4,128,138,105,4,13163,292,12,12,66%,-582,30%,25%
70,Meiko,18,0,26,393,144,4,7521,32,52,10,65%,372,6%,12%
71,Biubiu,16,5,96,178,113,4,11361,233,11,6,60%,-877,23%,21%
72,Ahn,5,0,46,51,37,4,13308,282,12,12,57.9%,-1077,26%,22%
73,YeG,7,0,55,99,51,3,12569,257,12,6,65%,-1346,22%,21%
74,shanji,16,3,85,235,133,3,11416,229,10,4,61%,-464,24%,21%
75,Southwind,16,1,22,244,101,3,7066,42,50,9,66%,-292,7%,13%
76,COLD,16,2,27,305,149,3,7118,32,49,7,63%,-146,7%,13%
77,Tarzan,17,6,97,358,130,3,10125,157,13,10,74%,-242,13%,17%
78,Wink,7,3,66,81,58,3,13132,275,14,13,63%,-1369,28%,23%
79,Xun,16,4,102,224,116,3,10745,185,13,8,68%,-129,15%,19%
80,xiaolaohu,17,3,144,177,128,3,13127,277,9,7,56%,463,26%,22%
81,zs,10,1,47,107,64,3,11190,236,12,4,51%,-1212,21%,20%
82,ON,17,1,23,315,159,3,7598,39,62,13,59%,16,7%,12%
83,shad0w,15,5,108,224,142,3,10191,167,14,11,67%,-416,16%,19%
84,fearness,15,2,97,189,120,3,11578,238,9,5,60%,-849,22%,21%
85,Breathe,18,4,178,224,137,3,13405,278,11,8,54%,428,24%,22%
86,Aliez,8,1,48,76,53,3,11927,244,10,6,51%,-2206,20%,20%
87,XinLiu,15,0,25,274,117,3,7280,39,58,11,64%,-397,6%,13%
88,Kedaya,16,1,26,296,127,3,6989,35,50,11,71%,-421,6%,13%
89,Jinjiao,16,0,30,285,166,3,7137,37,40,9,62%,-447,8%,13%
90,Jay,10,2,66,105,69,3,10577,227,9,6,62%,-2183,22%,20%
91,H4cker,16,1,77,276,147,3,10023,163,12,11,65%,-633,12%,17%
92,Zdz,16,0,99,174,119,3,12227,262,11,6,51%,-1443,23%,21%
93,Zika,12,3,90,146,89,3,12784,261,8,7,56.9%,838,24%,22%
94,Captain,6,0,30,47,32,3,11025,244,15,8,59%,-2647,23%,21%
95,Leyan,17,4,90,228,123,3,10874,195,12,16,66%,223,15%,19%
96,QiuQiu,16,1,31,312,161,3,7293,32,51,9,64%,-249,7%,12%
97,Cube,17,8,114,159,109,3,13026,274,14,6,56%,848,26%,22%
98,iBoy,17,3,126,169,109,3,13644,304,10,14,61%,-693,25%,24%
99,yuyanjia,14,0,27,220,106,3,7055,31,49,8,65%,-372,6%,12%
100,New,16,1,77,138,108,3,11295,240,12,4,54%,-1179,23%,21%
101,Zorah,3,0,6,65,38,2,8024,35,62,11,70%,-53,7%,12%
102,neny,4,0,10,31,17,2,11262,253,11,9,64%,-1467,26%,21%
103,Ale,17,4,127,192,123,2,12714,267,11,6,52%,504,24%,23%
104,View,7,1,34,51,48,2,9342,152,11,9,72%,-1395,17%,19%
105,TheShy,18,9,110,226,164,2,12781,263,10,5,54%,146,28%,21%
106,Chieftain,10,1,41,110,83,2,9130,147,13,11,65%,-1329,12%,17%
107,xiaoyueji,4,0,28,20,31,2,12358,273,13,10,61%,-1876,24%,23%
108,Mole,2,0,13,31,20,2,12536,258,17,12,69%,-1895,26%,19%
109,Lpc,2,0,15,20,16,2,12025,259,13,3,68%,-3199,25%,22%
110,frigid,7,0,27,69,59,2,8956,146,12,10,56.9%,-1251,12%,17%
111,Ke,1,0,2,6,5,1,6690,21,46,10,72%,-629,5%,13%
112,Kui,1,0,3,3,9,1,9436,145,12,12,42%,-1300,12%,18%
113,Garvey,3,0,3,11,12,1,11892,261,14,8,42%,-1727,24%,22%
