trank,team,appearance,win_lose,winRate,totalKill_perGame,totalDie_perGame,catchEye_perGame,rowEye_perGame,money_perGame,baron_perGame,dragon_perGame
1,RNG,20,17/3,85,873,638,116,56,60069,1,2.5
2,EDG,19,14/5,73,708,489,108,54,58986,0.7,2.5
3,FPX,21,15/6,71,835,708,96,42,55762,0.8,2.1
4,JDG,17,12/5,70,571,484,107,51,58330,0.6,2.5
5,TES,19,13/6,68,789,566,96,54,58389,0.8,2.3
6,WE,17,11/6,64,517,472,97,49,54656,0.6,2.2
7,WBG,19,12/7,63,645,426,118,54,57641,0.6,2.3
8,RA,18,11/7,61,566,571,114,58,59273,0.7,2.3
9,IG,17,9/8,52,591,515,94,46,53731,0.7,2.5
10,LNG,17,8/9,47,415,464,107,45,53008,0.4,1.8
11,V5,16,6/10,37,456,539,91,42,52423,0.5,1.6
12,BLG,16,6/10,37,438,544,105,48,55435,0.6,2
13,TT,16,4/12,25,424,598,102,47,54167,0.6,2
14,LGD,16,4/12,25,392,547,96,48,52470,0.4,1.8
15,OMG,16,3/13,18,403,594,100,44,51636,0.5,1.8
16,UP,16,2/14,12,376,559,104,48,51480,0.1,1.6
17,AL,16,1/15,6,293,590,98,43,49148,0.2,1.4
