prank,player,appearance,modelViewPresenter,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,money_perGame,creepScore_perGame,catchEye_perGame,rowEye_perGame,attendanceRate_perGame,contrapositionEconomicDifference,damage,gold
80,TheShy,17,6,111,206,125,3,11456,234,8,5,53%,948,27%,21%
81,Chelizi,16,2,80,176,112,3,11479,240,14,4,60%,-599,21%,21%
82,kelin,2,0,17,30,19,2,13922,284,12,10,73%,-1728,25%,24%
83,ShiauC,16,3,37,213,153,2,6871,39,54,11,66%,-682,8%,13%
84,icon,17,4,104,186,95,2,11684,261,10,5,69%,-266,25%,20%
85,zs,16,0,64,149,98,2,10830,234,12,5,56%,-1381,22%,21%
86,Leyan,16,5,133,210,146,2,11945,225,14,16,65%,296,18%,19%
87,Garvey,5,1,30,33,33,2,11559,234,11,6,63%,-1699,21%,22%
88,Cult,15,0,57,149,91,2,11023,233,10,6,61%,-704,23%,20%
89,COLD,16,3,23,266,147,2,6789,34,43,8,71%,-616,8%,13%
90,Biubiu,16,3,85,200,158,2,11447,236,14,6,65%,-651,25%,20%
91,Jwei,9,0,9,130,95,2,6504,31,48,6,63%,-650,7%,12%
92,Yimeng,1,0,6,13,9,2,11906,251,17,7,82%,-2130,24%,21%
93,Flora,4,0,5,17,10,2,9887,189,7,9,70%,-2534,14%,18%
94,Michi,5,0,20,33,29,2,10367,238,14,8,63%,-3321,19%,23%
95,M1kuya,15,1,37,149,92,2,10275,217,12,5,54%,-1215,22%,20%
96,Betty,8,1,41,53,41,2,12242,285,18,13,68%,-3258,25%,24%
97,Haro,16,1,93,124,116,2,10333,187,13,11,74%,-1167,17%,21%
98,Ziv,16,0,47,131,107,1,9944,216,10,7,60%,-2390,21%,20%
99,Forge,16,1,54,150,113,1,10768,241,12,6,69%,-1917,27%,21%
100,Missing,17,2,33,297,133,1,7242,37,45,11,63%,347,9%,13%
101,Captain,2,0,4,13,15,1,11732,266,14,12,62%,-2176,24%,21%
102,kaixuan,8,0,9,80,65,1,6556,30,48,6,65%,-1377,9%,12%
103,QiuQiu,7,0,10,68,64,1,7016,60,44,10,64%,-1914,10%,14%
104,Invincible,1,0,3,6,6,1,12587,248,15,4,60%,-2791,22%,20%
105,bless,3,0,7,16,21,1,9410,190,8,12,60%,-2071,17%,18%
106,kane,1,0,2,9,8,1,9330,211,10,7,64%,-3758,28.9%,22%
107,Insulator,2,0,4,6,10,1,10684,258,13,5,34%,-1870,24%,21%
108,xiye,1,0,4,4,8,1,9753,216,11,1,72%,-1842,28.9%,22%
109,Reheal,4,0,2,28,36,0,5419,34,33,7,68%,-1592,8%,13%
110,Alielie,4,0,8,12,31,0,9270,207,8,3,74%,-1710,28.9%,22%
